# HYBRID diffuse continuum: canonical PALACE fcHO2 + fcFeO, LVM-refit fcO2Ac.
# Built 2026-09-10 to test whether the canonical set's blue deficit is the
# O2Ac component: canonical O2Ac peaks at 3220 A, outside the LVM window, so
# only its noisy UV tail lands in 3600-9800 A.
# lam/trans/fH2O/isX interpolated from canonical onto the native LVM grid;
# fcO2Ac copied verbatim from pmd_refcont_joint_native_adam_invsky_p2_10000iter.dat.
# Units unchanged: fc* are reference continuum flux in R/nm.
#
lam trans fH2O fcHO2 fcFeO fcO2Ac isX
0.37735 0.9993499999999998 0.0 0.17 0.53 1.77308806842479 1
0.3774000244140625 0.9993 0.0 0.17 0.53 1.8374583124763202 1
0.37745 0.9993 0.0 0.17 0.53 1.886623154126343 1
0.3775 0.9993 0.0 0.17 0.53 1.9184742302593487 1
0.37755 0.99925 0.0 0.17 0.53 1.9298852021726032 1
0.3776 0.9992 0.0 0.17 0.53 1.921956519563574 1
0.37765 0.9992 0.0 0.17 0.5305 1.8968899355368891 1
0.3777 0.9992 0.0 0.17 0.531 1.8583190091614679 1
0.37775 0.9992 0.0 0.17 0.531 1.8105168531226212 1
0.3777999755859375 0.9991 0.0 0.17 0.531 1.7563623632278884 1
0.37785 0.9991 0.0 0.17 0.531 1.697341593283523 1
0.3779 0.9991 0.0 0.17 0.531 1.6388319743965036 1
0.37795 0.99905 0.0 0.17 0.531 1.5834218311728732 1
0.378 0.999 0.0 0.17 0.531 1.5336978372673737 1
0.37805 0.999 0.0 0.17 0.532 1.4917156795846696 1
0.3781 0.999 0.0 0.17 0.532 1.4585365374585968 1
0.37815 0.9989 0.0 0.17 0.532 1.4330604925166912 1
0.3782000244140625 0.9989 0.0 0.17 0.532 1.4142643979301301 1
0.37825 0.9989 0.0 0.17 0.532 1.4022465404294011 1
0.3783 0.9988 0.0 0.169 0.532 1.3950155072189685 1
0.37835 0.9988 0.0 0.169 0.532 1.392703369752954 1
0.3784 0.9988 0.0 0.169 0.532 1.3933939577195247 1
0.37845 0.99875 0.0 0.169 0.533 1.397711083290726 1
0.3785 0.9987 0.0 0.169 0.533 1.4042324067835221 1
0.37855 0.9987 0.0 0.169 0.533 1.411032893198183 1
0.3785999755859375 0.9987 0.0 0.169 0.533 1.4183232081882187 1
0.37865 0.9987 0.0 0.169 0.533 1.425833166450169 1
0.3787 0.9986 0.0 0.169 0.533 1.433251023329591 1
