# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference populations and intensities from the O2 population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details)
# isot: isotopologue (1616 or 1618)
# eli: electronic upper state (a or b)
# vi: vibrational level of upper state
# Ni: rotational level of upper state
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aij, and gi)
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# 
      lam             ID  isot   eli  vi  Ni         Ei        Aij   gi         y           I 
 0.686909  O2bX10RQ1122d  1616     b   1  22  15220.079  1.835e-03   45   -1.7960   1.370e-02 
 0.686914  O2bX10RQ1120d  1616     b   1  20  15102.434  1.833e-03   41   -1.7088   1.361e-02 
 0.686929  O2bX10RQ1124d  1616     b   1  24  15348.575  1.836e-03   49   -1.8533   1.410e-02 
 0.686944  O2bX10RQ1118d  1616     b   1  18  14995.664  1.831e-03   37   -1.5700   1.410e-02 
 0.686975  O2bX10RQ1126d  1616     b   1  26  15487.900  1.837e-03   53   -1.8970   1.461e-02 
 0.687000  O2bX10RQ1116d  1616     b   1  16  14899.789  1.829e-03   33   -1.3613   1.547e-02 
 0.687010  O2bX10RR1222d  1616     b   1  22  15220.079  1.727e-03   45   -1.7960   1.290e-02 
 0.687015  O2bX10RR1220d  1616     b   1  20  15102.434  1.715e-03   41   -1.7088   1.273e-02 
 0.687032  O2bX10RR1224d  1616     b   1  24  15348.575  1.737e-03   49   -1.8533   1.334e-02 
 0.687044  O2bX10RR1218d  1616     b   1  18  14995.664  1.700e-03   37   -1.5700   1.309e-02 
 0.687048  O2bX10RQ1128d  1616     b   1  28  15638.025  1.837e-03   57   -1.9361   1.511e-02 
 0.687079  O2bX10RR1226d  1616     b   1  26  15487.900  1.745e-03   53   -1.8970   1.387e-02 
 0.687081  O2bX10RQ1114d  1616     b   1  14  14814.827  1.826e-03   29   -1.0836   1.792e-02 
 0.687099  O2bX10RR1216d  1616     b   1  16  14899.789  1.681e-03   33   -1.3613   1.422e-02 
 0.687146  O2bX10RQ1130d  1616     b   1  30  15798.923  1.837e-03   61   -1.9750   1.555e-02 
 0.687152  O2bX10RR1228d  1616     b   1  28  15638.025  1.752e-03   57   -1.9361   1.441e-02 
 0.687179  O2bX10RR1214d  1616     b   1  14  14814.827  1.658e-03   29   -1.0836   1.627e-02 
 0.687187  O2bX10RQ1112d  1616     b   1  12  14740.793  1.821e-03   25   -0.7613   2.126e-02 
 0.687251  O2bX10RR1230d  1616     b   1  30  15798.923  1.757e-03   61   -1.9750   1.487e-02 
 0.687270  O2bX10RQ1132d  1616     b   1  32  15970.563  1.837e-03   65   -2.0154   1.591e-02 
 0.687284  O2bX10RR1212d  1616     b   1  12  14740.793  1.626e-03   25   -0.7613   1.899e-02 
 0.687318  O2bX10RQ1110d  1616     b   1  10  14677.703  1.815e-03   21   -0.4303   2.479e-02 
 0.687377  O2bX10RR1232d  1616     b   1  32  15970.563  1.762e-03   65   -2.0154   1.526e-02 
 0.687414  O2bX10RR1210d  1616     b   1  10  14677.703  1.583e-03   21   -0.4303   2.162e-02 
 0.687422  O2bX10RQ1134d  1616     b   1  34  16152.913  1.836e-03   69   -2.0580   1.618e-02 
 0.687474  O2bX10RQ1108d  1616     b   1   8  14625.568  1.805e-03   17   -0.1230   2.713e-02 
 0.687529  O2bX10RR1234d  1616     b   1  34  16152.913  1.765e-03   69   -2.0580   1.555e-02 
 0.687569  O2bX10RR1208d  1616     b   1   8  14625.568  1.520e-03   17   -0.1230   2.285e-02 
 0.687600  O2bX10RQ1136d  1616     b   1  36  16345.936  1.836e-03   73   -2.1029   1.636e-02 
 0.687655  O2bX10RQ1106d  1616     b   1   6  14584.397  1.791e-03   13    0.1374   2.671e-02 
 0.687708  O2bX10RR1236d  1616     b   1  36  16345.936  1.769e-03   73   -2.1029   1.577e-02 
 0.687749  O2bX10RR1206d  1616     b   1   6  14584.397  1.419e-03   13    0.1374   2.116e-02 
 0.687805  O2bX10RQ1138d  1616     b   1  38  16549.596  1.834e-03   77   -2.1504   1.644e-02 
 0.687861  O2bX10RQ1104d  1616     b   1   4  14554.199  1.766e-03    9    0.3365   2.225e-02 
 0.687914  O2bX10RR1238d  1616     b   1  38  16549.596  1.771e-03   77   -2.1504   1.588e-02 
 0.687954  O2bX10RR1204d  1616     b   1   4  14554.199  1.229e-03    9    0.3365   1.549e-02 
 0.688038  O2bX10RQ1140d  1616     b   1  40  16763.855  1.833e-03   81   -2.2002   1.645e-02 
 0.688094  O2bX10RQ1102d  1616     b   1   2  14534.980  1.700e-03    5    0.4664   1.355e-02 
 0.688147  O2bX10RR1240d  1616     b   1  40  16763.855  1.773e-03   81   -2.2002   1.591e-02 
 0.688183  O2bX10RR1202d  1616     b   1   2  14534.980  7.361e-04    5    0.4664   5.868e-03 
 0.688298  O2bX10RQ1142d  1616     b   1  42  16988.670  1.831e-03   85   -2.2526   1.636e-02 
 0.688409  O2bX10RR1242d  1616     b   1  42  16988.670  1.774e-03   85   -2.2526   1.585e-02 
 0.688573  O2bX10PP1200d  1616     b   1   0  14526.742  7.350e-03    1    0.5227   1.240e-02 
 0.688586  O2bX10RQ1144d  1616     b   1  44  17223.999  1.829e-03   89   -2.3073   1.620e-02 
 0.688698  O2bX10RR1244d  1616     b   1  44  17223.999  1.775e-03   89   -2.3073   1.572e-02 
 0.688717  OQbX10RQ1122d  1618     b   1  22  15145.810  1.825e-03   45   -8.2481   2.150e-05 
 0.688718  OQbX10RQ1121d  1618     b   1  21  15088.935  1.824e-03   43   -8.1965   2.162e-05 
 0.688723  OQbX10RQ1123d  1618     b   1  23  15205.249  1.826e-03   47   -8.2887   2.157e-05 
 0.688725  OQbX10RQ1120d  1618     b   1  20  15034.628  1.824e-03   41   -8.1311   2.201e-05 
 0.688734  OQbX10RQ1124d  1618     b   1  24  15267.252  1.826e-03   49   -8.3214   2.177e-05 
 0.688737  OQbX10RQ1119d  1618     b   1  19  14982.892  1.822e-03   39   -8.0489   2.270e-05 
 0.688752  OQbX10RQ1125d  1618     b   1  25  15331.814  1.827e-03   51   -8.3484   2.206e-05 
 0.688756  OQbX10RQ1118d  1618     b   1  18  14933.728  1.821e-03   37   -7.9478   2.381e-05 
 0.688766  O2bX10PQ1302d  1616     b   1   2  14534.980  1.977e-03    5    0.4664   1.576e-02 
 0.688775  OQbX10RQ1126d  1618     b   1  26  15398.933  1.828e-03   53   -8.3718   2.241e-05 
 0.688780  OQbX10RQ1117d  1618     b   1  17  14887.139  1.820e-03   35   -7.8273   2.540e-05 
 0.688805  OQbX10RQ1127d  1618     b   1  27  15468.606  1.828e-03   55   -8.3928   2.277e-05 
 0.688811  OQbX10RQ1116d  1618     b   1  16  14843.126  1.818e-03   33   -7.6882   2.749e-05 
 0.688819  OQbX10RR1222d  1618     b   1  22  15145.810  1.720e-03   45   -8.2481   2.026e-05 
 0.688820  OQbX10RR1221d  1618     b   1  21  15088.935  1.715e-03   43   -8.1965   2.032e-05 
