exposure,stack_row,mjd,fold,sky_far_label,target_airmass,moon_fli,moon_altitude_deg,moon_separation_deg,signed_phase_deg,e50_b,e90_b,bias_b,e50_r,e90_r,bias_r,e50_z,e90_z,bias_z
34616,14175,60723,0,SkyW,1.4562026893500502,0.8005,70.4112,45.5437,-53.43697342513666,0.04293888154222404,0.1266326277206049,0.01034669850266206,0.03993781037745398,0.07126227704291177,-0.039671163873690185,0.027916098671024625,0.0791436409409142,-0.00757357099665596
43251,14177,60863,3,SkyW,1.558487784468918,0.8625,85.5028,54.3284,43.53868051393431,0.06232429261192106,0.12877618662016252,0.051481882500549456,0.034503924652119974,0.09465261692641061,0.022438110992539576,0.04488382254925792,0.16742087578889225,-0.002878279337218443
34617,14205,60723,0,SkyW,1.8009700644890418,0.8,68.9409,52.3138,-53.562178172533194,0.05981194913733731,0.1266319299167159,-0.008370033169430972,0.08163557579024897,0.11453860844211121,-0.08163557579024897,0.05761364112199298,0.1306376072357415,-0.048044426898118685
43250,14239,60863,3,SkyW,1.5382477434858233,0.862,85.8332,46.0981,43.670158263493875,0.15441413749021768,0.22515236403306724,0.15415229436672553,0.07852865488788943,0.14148265025982837,0.07782450264200738,0.10644518540626673,0.17840841770841423,0.10405053809948135
21646,14240,60509,1,SkyW,1.7014164557870615,0.8656,87.7625,52.2231,43.05481581592173,0.0956404951726231,0.1691665286871634,0.08852102075958396,0.05469862714019823,0.11719155377591002,0.053824502692526185,0.11577805111405909,0.206080476130132,0.1135411604476247
17917,14242,60449,2,SkyW,1.4939090495524372,0.81,53.5891,50.6721,51.888848828605774,0.0498717880771772,0.12031701171976246,0.03200001663286576,0.050693128716404176,0.0898811333747815,0.004537512886079766,0.03528857810695081,0.10742863483748842,0.010397888371904817
33034,14297,60693,2,SkyW,1.9019347804935254,0.8107,55.8375,47.7321,-52.001918622996314,0.1348551943779038,0.2114436249768019,-0.1348551943779038,0.22825880365474477,0.269892495529132,-0.22825880365474477,0.27086407469968476,0.32658833491092704,-0.27086407469968476
53174,14335,61076,4,SkyW,1.9122105285436715,0.869,59.5178,50.2437,-42.95520678947457,0.051525665468156234,0.1393992895910094,-0.010639180756413152,0.05565724154029465,0.08423128825011501,-0.05534729398594835,0.05656199846645595,0.1294576855023569,-0.048864376736398055
39273,14355,60782,0,SkyW,1.4510862181128517,0.8386,78.3643,56.6011,-47.72649640806412,0.04354151159604961,0.1644003960581154,-0.03744746723606543,0.10771440760944329,0.16118285945119704,-0.10771440760944329,0.10193043817891212,0.1908146609430376,-0.1008401514285544
53173,14369,61076,4,SkyE,1.8101347808896573,0.8695,60.7568,46.1483,-42.81904723471385,0.06773587717664875,0.17708211769682713,0.052066306185369164,0.023579361414392444,0.051481898862606575,-0.011421214193620736,0.05397676522774536,0.15593550251579774,0.046834170630332767
53175,14370,61076,4,SkyW,1.8028240163340954,0.8685,57.8617,50.2091,-43.091106988593026,0.05291548358540886,0.14627819662470015,0.0006549053624210026,0.042880717099348126,0.07420679863056975,-0.04272252275332722,0.04834297549763075,0.12668054741259308,-0.04370048709882747
43253,14392,60863,3,SkyE,1.3826888998058153,0.8634,78.8307,54.1501,43.25208342470512,0.07615974922669526,0.13501330585484056,0.06477664222518803,0.057169918473928334,0.13201996412840916,0.05502752580951997,0.07964753148785286,0.1406514162408468,0.05904333475826162
51706,14408,61046,2,SkyW,1.0059133562955513,0.8909,44.8737,51.3282,-39.06508714232538,0.06224207395182482,0.16822160245868245,0.05121690858405789,0.058184265916209954,0.10692559777744537,0.05727840933095095,0.09225815561154946,0.18649734249169583,0.0907322321213312
11385,14412,60337,1,SkyE,1.196549951517178,0.94,41.5119,27.427,-28.958557302452874,0.4020820901038051,0.4889825686014196,-0.4020820901038051,0.5096256132279213,0.5391201979491671,-0.5096256132279213,0.5010995223240318,0.5281768179902321,-0.5010995223240318
39269,14417,60782,0,SkyE,1.6689495355067792,0.8405,86.3502,53.6144,-47.1973637594202,0.06881527626697963,0.1736664557612334,0.0447950301349605,0.08688949880710133,0.13299252783904933,-0.08688949880710133,0.06286163795329683,0.14523498329321527,-0.053948448032744775
44537,14419,60893,2,SkyW,1.564438158271545,0.8861,86.2506,53.798,39.53415483171568,0.2291999822354069,0.3514981495206109,-0.2291999822354069,0.4182953186432681,0.5094673562464636,-0.4182953186432681,0.5714682994356975,0.5968733987059758,-0.5714682994356975
43259,14433,60863,3,SkyW,1.1290984847277643,0.8661,57.8276,53.6866,42.49697298058683,0.09528226338883258,0.15551270833328815,0.0884954717333856,0.07459526890013637,0.14686722417633857,0.07324354754704643,0.05275286585524806,0.14936910780931553,0.018670448279257672
13033,14454,60364,3,SkyW,1.337903311376875,0.9984,21.1097,30.8518,3.898073633971819,0.12960897623421705,0.20886307454684064,0.12620546524652035,0.05641438233118507,0.07877041719186721,0.05586148091768116,0.09259989446936343,0.23705726573107339,0.09259989446936343
17971,14458,60450,1,SkyW,1.057836525497524,0.879,46.5125,59.8492,41.08714754451407,0.03289192871084047,0.23886267689972637,-0.020372274070836395,0.05810825492681017,0.10758622065016615,0.002338455595648504,0.04062329705375846,0.16931506048269232,-0.026650399888503262
