# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.397924   0.0013 0.999999  5  0 39  0                                          
0.398151   0.0010 1.000000  5  0 39  0                                          
0.398186   0.0006 1.000000  5  0 39  0                                          
0.398214   0.0015 1.000000  5  0 39  0                                          
0.398256   0.0011 0.999999  5  0 42  0                                          
0.398509   0.0008 0.999997  5  0 39  0                                          
0.398541   0.0003 0.999998  5  0 39  0                                          
0.398573   0.0017 1.000000  5  0 39  0                                          
0.398934   0.0009 1.000000  5  0 39  0                                          
0.398942   0.0004 1.000000  5  0 39  0                                          
0.398968   0.0005 0.999999  5  0 39  0                                          
0.399001   0.0013 0.999923  5  0 39  0                                          
0.399095   0.0004 1.000000  5  0 42  0                                          
0.399432   0.0009 1.000000  5  0 39  0                                          
0.399464   0.0008 1.000000  5  0 39  0                                          
0.399500   0.0011 1.000000  5  0 39  0                                          
0.400022   0.0011 0.999954  5  0 42  0                                          
0.400067   0.0021 0.999953  5  0 39  0                                          
0.400864   0.0012 0.999956  5  0 41  0                                          
0.400889   0.0018 0.999956  5  0 41  0                                          
0.400932   0.0013 0.999956  5  0 41  0                                          
0.400993   0.0012 0.999956  5  0 41  0                                          
0.401051   0.0024 0.999956  5  0 42  0                                          
0.401067   0.0018 0.999956  5  0 41  0                                          
0.401157   0.0020 0.999955  5  0 41  0                                          
0.401256   0.0013 0.999953  5  0 41  0                                          
0.401274   0.0009 0.999954  5  0 41  0                                          
0.401376   0.0010 0.999982  5  0 41  0                                          
0.401403   0.0008 0.999991  5  0 41  0                                          
0.401515   0.0020 0.999982  5  0 41  0                                          
0.401547   0.0014 0.999971  5  0 41  0                                          
0.401671   0.0011 0.999953  5  0 41  0                                          
0.401714   0.0011 0.999954  5  0 41  0                                          
0.401773   0.0008 0.999956  5  0 41  0                                          
0.401844   0.0010 0.999956  5  0 41  0                                          
0.401894   0.0005 0.999956  5  0 41  0                                          
0.402035   0.0011 0.999956  5  0 41  0                                          
0.402094   0.0011 0.999956  5  0 41  0                                          
0.402137   0.0002 0.999956  1  0  1  0                                          
0.402165   0.0005 0.999956  5  0 42  0                                          
0.402244   0.0013 0.999956  5  0 41  0                                          
0.402311   0.0006 0.999956  5  0 41  0                                          
0.402468   0.0010 0.999956  5  0 41  0                                          
0.402545   0.0006 0.999956  5  0 41  0                                          
0.402564   0.0005 0.999956  5  0 41  0                                          
0.402597   0.0005 0.999956  1  0  1  0                                          
0.402712   0.0008 0.999956  5  0 41  0                                          
0.402797   0.0007 0.999956  5  0 41  0                                          
0.402973   0.0012 0.999956  5  0 41  0                                          
0.403001   0.0005 0.999956  5  0 41  0                                          
0.403020   0.0001 0.999956  1  0  1  0                                          
0.403087   0.0007 0.999956  5  0 41  0                                          
0.403252   0.0005 0.999956  5  0 41  0                                          
0.403378   0.0007 0.999956  5  0 41  0                                          
0.404429   0.0006 0.999956  5  0 39  0                                          
